Marca,Modelo,Ano,Combustível,Lance,Taxa Adm,Valor_FIPE,BrandID
FIAT,ARGO 1.0,22/23,R$ 40.500,1.900,null,21
RENAULT,KWID ZEN 2,23/24,R$ 28.600,1.900,null,48
CHEV,ONIX 10 MT LT2,21/22,R$ 39.600,1.900,null,23
JEEP,RENEGADE 1.8 AT,16/16,R$ 39.500,1.900,null,29
IMP HONDA,CR-V EXL,12/12,R$ 43.500,1.900,null,25
IMP BMW,320I 3B11,13/14,R$ 50.000,1.900,null,7
IMP VW,TIGUAN 2.0 TSI CARROCERIA FECHADA,14/14,--,1.900,null,59
FIAT,MOBI LIKE,23/23,R$ 29.700,1.900,null,21
IMP PEUGEOT,208 LIKE MT,23/24,--,1.900,null,44
CHEVROLET,COBALT 1.8 LTZ,14/15,--,1.900,null,23
RENAULT,KWID INTENS 2,23/24,--,1.900,null,48
HYUNDAI,HB20 1.0M COMFOR,14/15,R$ 26.800,1.900,null,26
PEUGEOT,2008 ALLURE AT,17/17,R$ 24.500,1.900,null,44
CITROEN,C3 90M TENDANCE,14/15,R$ 27.100,1.900,null,13
CITROEN,AIRCROSS START MT,17/18,--,1.900,null,13
GM,MERIVA PREMIUM,10/11,R$ 17.000,1.900,null,23
IMP NISSAN,TIIDA 18 SL FLEX,11/12,--,1.900,null,43
IMP KIA,SOUL EX 1.6 FF AT,11/12,R$ 19.000,1.900,null,31
FIAT,UNO MILLE FIRE FLEX,08/08,--,1.900,null,21
FIAT,PALIO FIRE ECONOMY,11/12,--,1.900,null,21
IMP CHEV,SONIC LTZ NB MT,12/13,--,1.900,null,23
FIAT,PUNTO ESSEN. 1.6 DL,12/12,--,1.900,null,21
IMP CITROEN,C4 PALLAS 20 GAF,10/11,--,1.900,null,13
FORD,FIESTA 1.6 FLEX,12/13,--,1.900,null,22
FIAT,STRADA FIRE FLEX C ABERTA,11/12,--,1.900,null,21
PEUGEOT,207 HB ACTIVE,13/14,--,1.900,null,44
RENAULT,SANDERO PRI 16 HP,13/14,--,1.900,null,48
GM,S10 ADVANTAGE D AB C DUPLA,09/10,R$ 33.700,1.900,null,23
